"id";"lavNumber";"name";"type";"result";"locality";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"7-120-10-ehemalige-kiesgrube-sandersdorf";"7-120-10";"ehemalige Kiesgrube Sandersdorf";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-11-ehemaliges-schwimmbad-raguhn";"7-120-11";"ehemaliges Schwimmbad Raguhn";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-14-leipziger-teich-zorbig";"7-120-14";"Leipziger Teich Zörbig";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-18-groer-richard-bei-sandersdorf";"7-120-18";"Großer Richard bei Sandersdorf";"See";"review";"Sandersdorf";"64.9";"Förstergrube";"5";"0.000";"189.0";"Neuer Ortsanker 'Sandersdorf' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"7-120-19-lober-leine-kanal";"7-120-19";"Lober-Leine-Kanal";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-21-mulde-v-landesgr-sachsen-bis-stausee";"7-120-21";"Mulde v. Landesgr. Sachsen bis Stausee,";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-22-mulde-von-ca-750m-oberhalb-wehr";"7-120-22";"Mulde von ca. 750m oberhalb Wehr";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-26-pappelloch-rosa";"7-120-26";"Pappelloch Rösa";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-29-tagebaurestloch-kockern";"7-120-29";"Tagebaurestloch Köckern";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-32-luthers-linde-muldenstein";"7-120-32";"Luthers Linde Muldenstein";"Fließgewässer";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-38-geerensee-friedersdorf";"7-120-38";"Geerensee Friedersdorf";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-41-waldteich-thalheim";"7-120-41";"Waldteich Thalheim";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-42-tranke-thalheim";"7-120-42";"Tränke Thalheim";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-50-dorfteich-beyersdorf";"7-120-50";"Dorfteich Beyersdorf";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-51-dorfteich-kockern";"7-120-51";"Dorfteich Köckern";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-52-generalsteich-schrenz";"7-120-52";"Generalsteich Schrenz";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-121-01-vergimeinnicht-postgrube";"7-121-01";"Vergißmeinnicht (Postgrube)";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-121-02-deutsche-grube-zscherndorf";"7-121-02";"Deutsche Grube Zscherndorf";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-122-01-kiesgrube-dessauer-str-loberitz";"7-122-01";"Kiesgrube Dessauer Str. Löberitz";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-271-02-zuckerteich-bei-osternienburg";"7-271-02";"Zuckerteich bei Osternienburg";"Teich";"review";"Osternienburg";"63.6";"";"6";"0.000";"171.2";"Neuer Ortsanker 'Osternienburg' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"7-272-01-magdalenenteich-in-aken";"7-272-01";"Magdalenenteich in Aken";"Teich";"review";"Aken";"697.5";"";"4";"0.000";"21.4";"Neuer Ortsanker 'Aken' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"7-272-05-taube-von-700m-unterhalb-einmundung";"7-272-05";"Taube von 700m unterhalb Einmündung";"See";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-273-01-baufeld-worbzig-1-groe-kiesgrube";"7-273-01";"Baufeld Wörbzig 1 - Große Kiesgrube";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-273-02-baufeld-worbzig-2-kleinere-kiesgrube";"7-273-02";"Baufeld Wörbzig 2 - Kleinere Kiesgrube";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-273-07-betonwerkteich-3-4-bei-grobzig";"7-273-07";"Betonwerkteich 3 + 4 bei Gröbzig";"Teich";"review";"Gröbzig";"437.5";"";"6";"0.000";"98.4";"Neuer Ortsanker 'Gröbzig' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"7-273-08-tagebau-edderitz-boote-ohne-motor";"7-273-08";"Tagebau Edderitz - Boote ohne Motor";"Kiesgrube";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-273-12-sportplatzteich-in-gorzig";"7-273-12";"Sportplatzteich in Görzig";"Teich";"review";"Görzig";"128.9";"";"4";"0.000";"341.3";"Neuer Ortsanker 'Görzig' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
"7-273-18-pelzteich-gorzig";"7-273-18";"Pelzteich Görzig";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-273-20-teich-in-weddershausen";"7-273-20";"Teich in Weddershausen";"Teich";"unmatched";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-275-01-grubenteich-bei-osternienburg";"7-275-01";"Grubenteich bei Osternienburg";"Kiesgrube";"review";"Osternienburg";"63.6";"";"6";"0.000";"171.2";"Neuer Ortsanker 'Osternienburg' gefunden; amtlicher Kandidat vorhanden, aber nicht eindeutig genug."
