"id";"lavNumber";"name";"type";"status";"latitude";"longitude";"osmConfidence";"officialDistanceM";"officialName";"officialFeatureId";"officialType";"officialCandidateCount";"nameScore";"distanceGapM";"reason"
"10-290-22-geisel-von-quelle-bei-mucheln-bis";"10-290-22";"Geisel von Quelle bei Mücheln bis";"See";"review";"51.5660773";"12.0688254";"0.887";"124.8";"";"StandingWater_DESTGEOT00004Imb";"StandingWater";"1";"0";"9999";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-290-23-luppe-von-landesgrenze-sachsen";"10-290-23";"Luppe von Landesgrenze Sachsen";"See";"review";"51.6963947";"11.2059699";"0.851";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"10-290-24-weie-elster-von-landesgrenze-sachsen";"10-290-24";"Weiße Elster von Landesgrenze Sachsen";"See";"review";"51.6963947";"11.2059699";"0.851";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"10-290-25-umgehungskanal-merseburg";"10-290-25";"Umgehungskanal Merseburg";"Fließgewässer";"review";"51.3592592";"12.0032226";"0.844";"0.3";"";"Watercourse_DESTGEOT00004yBh_pol";"Watercourse";"13";"0";"8.2";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-290-26-saalealtarm-leuna";"10-290-26";"Saalealtarm Leuna";"Fließgewässer";"review";"51.3321433";"12.0140891";"0.848";"4.2";"";"Watercourse_DESTGEOT00004vsy_lin";"Watercourse";"5";"0";"17";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-290-28-vorderer-und-hinterer-gotthardsteich";"10-290-28";"Vorderer und Hinterer Gotthardsteich";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-29-grokaynaer-see-sudteil-nsg";"10-290-29";"Großkaynaer See – Südteil NSG!";"See";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-32-schachtteich-milzau";"10-290-32";"Schachtteich Milzau";"Teich";"review";"51.3758149";"11.9017413";"0.908";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"10-290-34-spitzteich-zweimen";"10-290-34";"Spitzteich Zweimen";"Teich";"review";"51.3546752";"12.1372834";"0.885";"168.4";"";"StandingWater_DESTGEOT00004y4S";"StandingWater";"1";"0";"9999";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"10-290-36-dorfteich-oebles-schlechtewitz";"10-290-36";"Dorfteich Oebles-Schlechtewitz";"Teich";"unmatched";"";"";"";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
